               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089928,            0.067531,            0.058465,             0.78419,            0.050218,            0.045055,            0.015426,            0.076159,            0.044818,             0.04217,            0.070133,           0.0033186,           0.0033186
                   1,            0.071939,            0.057911,            0.036425,             0.39682,             0.21748,             0.15882,            0.060466,            0.063054,            0.039464,            0.032082,            0.040067,           0.0065861,           0.0065861
                   2,              0.0645,            0.052707,            0.031221,             0.39529,             0.22676,             0.18608,            0.071637,            0.059842,             0.03665,            0.028929,            0.009935,           0.0097875,           0.0097875
                   3,            0.059698,            0.053353,            0.029074,             0.39506,             0.23364,             0.18845,            0.078313,            0.056677,            0.038779,            0.028077,            0.009703,            0.009703,            0.009703
                   4,            0.056336,            0.052622,             0.02714,             0.41733,             0.25099,             0.21814,            0.090423,            0.055387,            0.037216,            0.026364,            0.009703,            0.009703,            0.009703
                   5,            0.054311,            0.051075,            0.025983,             0.43572,             0.29772,             0.27731,             0.11833,             0.05127,            0.035091,            0.024693,            0.009604,            0.009604,            0.009604
                   6,            0.053192,            0.051729,             0.02508,             0.42317,             0.30528,             0.28829,              0.1222,            0.052377,            0.034363,              0.0239,            0.009505,            0.009505,            0.009505
                   7,            0.051895,            0.050638,            0.024261,             0.42685,             0.31301,             0.29181,             0.12564,            0.050639,            0.034424,             0.02384,            0.009406,            0.009406,            0.009406
                   8,            0.050845,            0.049554,            0.023511,             0.36592,             0.32167,             0.31173,             0.13334,            0.049901,             0.03496,            0.022812,            0.009307,            0.009307,            0.009307
                   9,             0.05021,             0.04979,            0.023577,             0.41673,             0.33286,             0.31424,              0.1382,             0.04948,            0.033968,            0.022965,            0.009208,            0.009208,            0.009208
                  10,            0.049375,            0.049286,            0.023042,             0.37399,             0.31947,              0.2867,             0.12384,            0.052072,            0.037304,            0.024635,            0.009109,            0.009109,            0.009109
                  11,            0.048947,            0.048995,            0.022529,             0.43844,             0.33739,             0.33499,             0.15072,            0.048519,            0.033878,            0.021672,             0.00901,             0.00901,             0.00901
                  12,            0.048414,            0.048052,            0.021944,             0.47122,             0.34114,             0.35279,             0.15358,            0.048277,            0.033776,            0.021608,            0.008911,            0.008911,            0.008911
                  13,             0.04793,            0.048326,            0.022144,             0.42793,             0.33966,             0.34083,             0.15824,            0.047581,            0.033371,            0.021738,            0.008812,            0.008812,            0.008812
                  14,            0.047333,            0.048124,            0.021285,             0.43812,             0.34907,             0.35528,             0.15696,            0.047901,            0.033729,            0.021781,            0.008713,            0.008713,            0.008713
                  15,            0.046978,            0.047288,              0.0211,             0.46358,             0.35919,             0.37171,             0.16951,            0.046846,            0.033037,            0.020928,            0.008614,            0.008614,            0.008614
                  16,            0.046739,            0.046686,            0.021299,              0.4771,             0.35235,             0.37373,             0.16976,            0.046787,            0.032763,            0.020804,            0.008515,            0.008515,            0.008515
                  17,            0.046684,            0.046929,            0.020802,             0.47133,             0.36758,             0.37055,             0.16824,             0.04726,            0.033304,            0.020899,            0.008416,            0.008416,            0.008416
                  18,            0.046121,             0.04571,            0.020517,             0.47057,              0.3753,             0.37907,             0.17562,            0.046356,            0.032338,            0.020378,            0.008317,            0.008317,            0.008317
                  19,            0.045754,            0.046026,            0.020241,             0.49612,             0.36912,             0.40012,             0.18612,            0.045867,            0.032517,            0.020171,            0.008218,            0.008218,            0.008218
                  20,            0.045292,            0.046154,            0.020365,             0.48681,              0.3641,             0.38539,             0.17993,             0.04596,            0.032404,            0.020316,            0.008119,            0.008119,            0.008119
                  21,            0.045352,            0.046209,            0.020467,             0.48243,              0.3849,             0.39639,             0.18399,            0.046173,            0.032251,            0.020226,             0.00802,             0.00802,             0.00802
                  22,            0.044733,            0.045341,            0.020142,             0.49585,             0.38217,             0.39535,             0.18529,            0.045761,            0.032565,            0.019948,            0.007921,            0.007921,            0.007921
                  23,            0.044545,            0.044393,            0.019608,             0.52593,             0.37375,               0.411,             0.19195,            0.045505,            0.031647,            0.019908,            0.007822,            0.007822,            0.007822
                  24,            0.044251,            0.044479,            0.019346,             0.48445,             0.38314,             0.40053,             0.18931,            0.045214,            0.031939,            0.019844,            0.007723,            0.007723,            0.007723
                  25,            0.044037,            0.044287,            0.019325,             0.51863,             0.36734,             0.39699,             0.18596,            0.045866,            0.032958,            0.020388,            0.007624,            0.007624,            0.007624
                  26,            0.043711,            0.044089,            0.019089,              0.5221,             0.38576,             0.41722,             0.19838,            0.045168,            0.031748,            0.019834,            0.007525,            0.007525,            0.007525
                  27,            0.043514,            0.044139,            0.019252,             0.48595,             0.38268,             0.39655,             0.18767,            0.045739,            0.033052,            0.020284,            0.007426,            0.007426,            0.007426
                  28,            0.043283,            0.043062,            0.018727,             0.51922,             0.37886,             0.40632,             0.19248,            0.045574,            0.032694,            0.020076,            0.007327,            0.007327,            0.007327
                  29,            0.043081,             0.04367,            0.018718,             0.52356,             0.40017,             0.43377,             0.20621,            0.044749,            0.031939,            0.019435,            0.007228,            0.007228,            0.007228
                  30,            0.042959,            0.043626,            0.018828,             0.51958,             0.37504,             0.40698,             0.19931,            0.044914,            0.031876,            0.019979,            0.007129,            0.007129,            0.007129
                  31,            0.042686,            0.042595,             0.01862,             0.55243,             0.38205,             0.42576,              0.2089,            0.044506,            0.031603,            0.019731,             0.00703,             0.00703,             0.00703
